input_idx,input_val,weight,prod,contrib
0,33,21,693,0
1,96,5,480,0
2,0,30,0,0
3,115,81,9315,9
4,128,-21,-2688,-3
5,36,15,540,0
6,18,-46,-828,-1
7,145,-35,-5075,-5
8,0,33,0,0
9,0,23,0,0
10,0,-5,0,0
11,0,16,0,0
12,47,-33,-1551,-2
13,111,-19,-2109,-3
14,0,26,0,0
15,106,13,1378,1
16,0,24,0,0
17,0,-43,0,0
18,35,31,1085,1
19,67,18,1206,1
20,35,18,630,0
21,31,-10,-310,-1
22,83,-17,-1411,-2
23,78,-41,-3198,-4
24,38,68,2584,2
25,0,-28,0,0
26,126,78,9828,9
27,18,-3,-54,-1
28,93,73,6789,6
29,0,41,0,0
30,88,-38,-3344,-4
31,99,18,1782,1
32,0,59,0,0
33,0,40,0,0
34,0,-1,0,0
35,0,55,0,0
36,126,-44,-5544,-6
37,133,-5,-665,-1
38,92,55,5060,4
39,0,76,0,0
40,0,-8,0,0
41,0,19,0,0
42,0,53,0,0
43,131,-41,-5371,-6
44,123,77,9471,9
45,133,-46,-6118,-6
46,133,-47,-6251,-7
47,39,8,312,0
48,86,-45,-3870,-4
49,147,4,588,0
50,0,30,0,0
51,15,-27,-405,-1
52,74,64,4736,4
53,0,68,0,0
54,17,-11,-187,-1
55,101,16,1616,1
56,0,-49,0,0
57,36,-9,-324,-1
58,9,38,342,0
59,0,74,0,0
60,0,20,0,0
61,61,59,3599,3
62,0,20,0,0
63,23,29,667,0
64,0,-39,0,0
65,0,12,0,0
66,35,38,1330,1
67,148,21,3108,3
68,0,62,0,0
69,87,-14,-1218,-2
70,0,10,0,0
71,116,43,4988,4
72,0,-24,0,0
73,0,54,0,0
74,72,-31,-2232,-3
75,124,53,6572,6
76,21,66,1386,1
77,30,73,2190,2
78,0,-29,0,0
79,6,38,228,0
80,100,66,6600,6
81,0,54,0,0
82,50,-11,-550,-1
83,48,-10,-480,-1
84,79,-7,-553,-1
85,0,25,0,0
86,0,-11,0,0
87,120,-13,-1560,-2
88,0,-56,0,0
89,107,65,6955,6
90,0,20,0,0
91,0,-34,0,0
92,0,-52,0,0
93,19,44,836,0
94,79,-29,-2291,-3
95,124,67,8308,8
96,0,44,0,0
97,135,-47,-6345,-7
98,0,1,0,0
99,106,73,7738,7
100,12,-20,-240,-1
101,0,17,0,0
102,0,-11,0,0
103,75,74,5550,5
104,105,77,8085,7
105,35,-50,-1750,-2
106,0,-17,0,0
107,66,-7,-462,-1
108,0,18,0,0
109,42,32,1344,1
110,85,-17,-1445,-2
111,112,10,1120,1
112,65,12,780,0
113,0,-43,0,0
114,53,-54,-2862,-3
115,0,-25,0,0
116,123,-26,-3198,-4
117,58,63,3654,3
118,94,-45,-4230,-5
119,0,-1,0,0
120,0,32,0,0
121,113,-11,-1243,-2
122,129,-26,-3354,-4
123,112,49,5488,5
124,0,39,0,0
125,25,69,1725,1
126,0,15,0,0
127,116,57,6612,6
128,57,55,3135,3
129,32,-15,-480,-1
130,0,23,0,0
131,60,62,3720,3
132,0,-41,0,0
133,48,41,1968,1
134,100,-17,-1700,-2
135,127,49,6223,6
136,34,65,2210,2
137,58,76,4408,4
138,0,46,0,0
139,0,-50,0,0
140,0,-2,0,0
141,0,15,0,0
142,47,-49,-2303,-3
143,26,-53,-1378,-2
144,98,-44,-4312,-5
145,30,20,600,0
146,53,-55,-2915,-3
147,124,-26,-3224,-4
148,136,61,8296,8
149,0,54,0,0
150,0,31,0,0
151,91,-11,-1001,-1
152,0,42,0,0
153,88,60,5280,5
154,0,73,0,0
155,33,1,33,0
156,55,22,1210,1
157,0,38,0,0
158,88,11,968,0
159,108,-21,-2268,-3
160,0,-11,0,0
161,0,79,0,0
162,0,-51,0,0
163,0,33,0,0
164,0,-49,0,0
165,3,53,159,0
166,67,57,3819,3
167,70,9,630,0
168,0,29,0,0
169,61,-20,-1220,-2
170,105,-3,-315,-1
171,25,43,1075,1
172,0,42,0,0
173,58,-24,-1392,-2
174,0,60,0,0
175,0,-42,0,0
176,93,33,3069,2
177,81,18,1458,1
178,110,50,5500,5
179,0,-31,0,0
180,0,57,0,0
181,0,50,0,0
182,0,-7,0,0
183,0,40,0,0
184,0,-5,0,0
185,141,45,6345,6
186,0,-21,0,0
187,7,50,350,0
188,0,29,0,0
189,47,24,1128,1
190,26,64,1664,1
191,116,31,3596,3
192,0,59,0,0
193,0,-20,0,0
194,34,-19,-646,-1
195,0,-53,0,0
196,0,12,0,0
197,82,5,410,0
198,0,-48,0,0
199,0,41,0,0
200,0,-12,0,0
201,26,-27,-702,-1
202,115,58,6670,6
203,0,22,0,0
204,3,72,216,0
205,31,67,2077,2
206,118,-28,-3304,-4
207,76,45,3420,3
208,0,77,0,0
209,0,76,0,0
210,0,-19,0,0
211,90,-19,-1710,-2
212,0,27,0,0
213,0,-37,0,0
214,136,-5,-680,-1
215,61,-24,-1464,-2
216,0,-22,0,0
217,117,-10,-1170,-2
218,0,16,0,0
219,0,52,0,0
220,32,13,416,0
221,0,-16,0,0
222,0,-44,0,0
223,76,72,5472,5
224,87,15,1305,1
225,134,58,7772,7
226,0,21,0,0
227,149,40,5960,5
228,0,56,0,0
229,82,57,4674,4
230,0,3,0,0
231,0,-42,0,0
232,128,20,2560,2
233,0,-39,0,0
234,132,-4,-528,-1
235,0,74,0,0
236,51,15,765,0
237,108,58,6264,6
238,0,28,0,0
239,0,-2,0,0
240,0,17,0,0
241,138,4,552,0
242,86,-7,-602,-1
243,10,43,430,0
244,8,-32,-256,-1
245,67,-2,-134,-1
246,94,-28,-2632,-3
247,127,-2,-254,-1
248,0,18,0,0
249,0,7,0,0
250,45,16,720,0
251,135,-40,-5400,-6
252,0,34,0,0
253,144,-7,-1008,-1
254,0,-47,0,0
255,137,6,822,0
